% Using data from: data/PS3.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Revolution" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "LaPS3" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_PlayStation_Magazine_Benelux" real
@attribute "Official_Playstation_2_Magazine_UK" real
@attribute "Official_U.S._Playstation_Magazine" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PS3bloggen.se" real
@attribute "PSFocus" real
@attribute "PSM_Magazine" real
@attribute "PSM3_Magazine_UK" real
@attribute "PSW_Magazine_UK" real
@attribute "PSX_Extreme" real
@attribute "PSX-Sense.nl" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Play_Magazine" real
@attribute "Play_UK" real
@attribute "Play.tm" real
@attribute "PlayStation_LifeStyle" real
@attribute "Playstation_Official_Magazine_Australia" real
@attribute "Playstation_Official_Magazine_UK" real
@attribute "Playstation_Universe" real
@attribute "Playstation:_The_Official_Magazine_(US)" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Pure_Magazine_UK" real
@attribute "Push_Square" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "Riot_Pixels" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Sydney_Morning_Herald" real
@attribute "Telegraph" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "TheSixthAxis" real
@attribute "Thunderbolt" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "TotalPlayStation" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "XGN" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"Tiger Woods PGA Tour 07","PS3",75,?,?,?,?,90,?,?,?,?,?,?,?,?,?,92,?,?,?,?,?,?,?,80,80,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,80,?,?,?,75,?,82,70,?,?,85,?,?,?,?,?,?,?,?,?,?,77,?,?,80,?,?,84,?,?,?,80,?,91,85,?,?,?,?,?,?,?,?,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,88,?,?,80,82,80,81,?,?,?,?,88,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,80,?,70,?,?,?,?,?,?,?,?,?,?,81
"Tom Clancy's Ghost Recon Advanced Warfighter 2","PS3",80,?,?,?,?,80,?,?,?,?,?,?,?,?,?,96,?,?,?,?,?,?,90,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,90,?,?,82,?,85,88,?,?,?,?,80,?,?,?,80,?,85,100,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,?,?,?,?,?,75,?,?,?,?,85,?,?,?,90,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,90,?,?,80,86,?,?,?,?,91,?,83,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,90,?,?,?,?,80,?,?,?,?,?,?,?,84
"Tom Clancy's Splinter Cell Double Agent","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,75,75,?,87,?,?,80,?,79,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,70,?,?,?,?,?,?,?,?,70,?,78
"Virtua Fighter 5","PS3",95,?,?,?,?,80,?,?,?,80,?,?,?,?,?,86,?,91,?,?,?,?,?,?,90,?,?,?,75,?,?,?,?,80,97,90,?,?,?,?,?,?,?,?,?,70,?,80,?,?,42,88,?,80,?,?,?,90,75,81,100,?,91,89,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,88,?,?,?,?,80,83,?,?,?,86,?,90,?,?,?,?,90,?,?,?,88,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,88,?,?,90,87,?,92,?,?,88,95,83,?,?,?,90,?,?,?,?,60,?,?,?,?,?,?,?,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,83,?,?,80,90,?,80,?,85
"Ridge Racer 7","PS3",80,?,?,?,?,80,?,?,?,?,?,?,?,?,?,86,?,80,81,?,?,?,?,?,80,?,80,?,?,?,80,?,?,60,68,70,?,?,?,?,?,?,?,?,?,63,?,80,?,?,?,88,?,70,?,?,?,80,?,80,80,?,78,85,?,?,?,?,?,87,?,?,?,?,?,?,?,?,?,?,80,?,?,?,80,?,83,82,?,?,85,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,?,?,?,60,?,75,?,?,?,85,80,?,80,?,?,80,80,75,84,?,?,80,?,?,?,?,50,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,80,?,?,?,?,77,?,?,60,?,?,70,?,78
"The Golden Compass","PS3",?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,33,?,?,0,?,?,?,?,?,?,?,?,45,30,?,?,?,?,?,?,?,?,42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,41,?,45,?,45,32,?,?,?,50,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,40
"Tom Clancy's Rainbow Six Vegas 2","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,80,?,?,95,93,85,?,58,?,90,80,?,?,?,?,75,85,90,?,85,?,?,?,70,80,?,83,?,?,?,?,?,?,?,?,82,?,84,?,?,?,?,?,75,?,?,?,?,90,?,?,80,?,?,?,?,?,78,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,71,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,85,?,?,78,?,?,?,80,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,81
"Conflict: Denied Ops","PS3",45,?,?,?,?,?,?,?,55,?,?,?,?,?,?,52,?,?,?,?,?,?,56,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,53,58,55,?,?,?,?,?,?,?,?,?,75,55,?,?,65,?,?,?,?,?,?,51,?,?,40,?,35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,50,?,52,?,?,?,?,50,?,?,?,60,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,40,?,?,?,?,?,40,?,?,?,?,52,?,?,?,?,?,?,?,51
"Call of Duty 4: Modern Warfare","PS3",95,?,?,?,?,90,?,?,?,?,?,?,?,?,?,96,?,?,?,?,?,?,?,90,?,?,?,?,?,?,95,?,?,90,92,?,?,?,?,?,?,?,?,?,?,?,96,100,96,?,91,?,?,100,?,?,?,?,?,90,100,90,94,96,?,?,?,?,?,92,?,?,?,?,95,?,?,?,?,?,93,?,?,?,?,90,100,?,?,?,?,?,92,?,?,?,?,?,?,?,96,94,?,?,?,?,?,?,?,93,?,?,?,?,?,?,?,?,?,90,?,95,?,?,?,88,?,?,?,?,?,100,?,?,?,100,?,?,?,94,?,94,?,?,?,?,88,90,?,?,100,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,100,?,?,?,?,?,90,?,100,?,?,94,?,?,?,95,?,80,?,94
"Fantastic Four: Rise of the Silver Surfer","PS3",45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,40,?,40,45,50,40,?,42,?,?,?,?,?,?,?,?,50,30,?,53,55,?,?,?,?,?,64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,54,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,50,39,?,49,?,?,?,45,39,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,55,?,?,?,47
