% Using data from: data/X360.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "360_Gamer_Magazine_UK" real
@attribute "3DAvenue" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adrenaline_Vault" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Bit-Gamer" real
@attribute "BonusStage" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Cincinnati_Enquirer" real
@attribute "Computer_Games_Magazine" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electric_Playground" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Entertainment_Weekly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "Firing_Squad" real
@attribute "Four_Fat_Chicks" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Power_Australia" real
@attribute "Game_Revolution" real
@attribute "GameBiz" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gamenikki" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerFeed" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers_Europe" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games_Radar" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gamezilla!" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "Into_Liquid_Sky" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_Adventure" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "MS_Xbox_World" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Maxim_Online" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "MondoXbox" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_Xbox_Magazine" real
@attribute "Official_Xbox_Magazine_UK" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Planet_Xbox_360" real
@attribute "Play_Magazine" real
@attribute "Play.tm" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "RewiredMind" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Stuff" real
@attribute "Sydney_Morning_Herald" real
@attribute "Talk_Xbox" real
@attribute "TeamXbox" real
@attribute "Telegraph" real
@attribute "Ten_Ton_Hammer" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "Thunderbolt" real
@attribute "Times_Online" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "Totally360" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "X360_Magazine_UK" real
@attribute "XGN" real
@attribute "XGP_Gaming" real
@attribute "Xbox_Evolved" real
@attribute "Xbox_Solution" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Xbox_World_Australia" real
@attribute "Xbox360Achievements" real
@attribute "XboxAddict" real
@attribute "Xboxic" real
@attribute "Xequted" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"WWE SmackDown vs. Raw 2007","X360",85,70,?,?,?,?,?,90,?,?,?,?,85,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,?,?,80,?,85,?,75,?,89,?,?,?,?,75,?,70,?,?,?,?,?,?,85,?,?,80,?,?,88,88,?,?,?,?,?,?,?,70,?,?,?,85,?,81,80,?,80,80,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,85,?,?,?,?,80,80,?,75,?,?,?,84,90,83,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,74,?,?,88,?,85,70,?,55,88,?,83,84,90,?,?,?,?,?,?,?,90,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,90,?,?,80,60,?,?,?,?,?,?,?,80,80,?,90,75,?,?,?,81
"Tiger Woods PGA Tour 07","X360",75,80,80,?,?,?,?,70,?,?,?,?,?,?,?,?,?,90,?,?,92,?,?,?,?,83,?,?,?,?,79,?,?,80,?,75,?,?,?,?,?,?,72,?,80,?,?,?,?,?,?,?,?,?,60,?,43,87,80,?,?,?,?,?,?,?,80,?,?,?,75,?,82,90,?,?,85,?,?,?,?,?,?,73,?,?,?,?,?,78,?,?,?,85,?,?,?,?,?,?,?,80,70,?,91,?,?,?,?,?,80,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,86,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,85,70,90,75,88,?,?,88,?,?,?,?,?,?,?,?,?,?,?,?,70,?,79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,90,?,?,84,80,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,80
"Far Cry Instincts Predator","X360",50,80,?,?,?,?,?,70,?,?,?,?,85,?,?,?,?,70,?,?,78,?,?,?,?,?,?,?,?,85,?,80,?,?,?,75,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,65,?,?,?,?,?,96,88,80,?,?,?,?,?,?,?,?,?,?,?,75,79,90,?,?,82,?,?,?,?,?,?,82,?,?,?,?,80,?,?,?,?,?,?,?,86,?,?,?,?,80,60,70,?,82,?,?,?,?,81,?,?,?,?,?,?,?,78,83,?,?,?,?,65,?,?,?,86,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,75,?,75,70,?,75,83,?,86,76,80,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,80,?,85,?,?,?,60,?,?,?,?,?,85,?,?,?,?,80,?,?,?,?,78
"X-Men: The Official Game","X360",50,40,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,?,?,54,?,?,?,?,78,?,?,?,?,75,?,?,?,?,30,?,38,?,30,?,?,?,?,?,?,?,?,?,60,?,?,78,40,70,?,?,33,75,?,?,?,?,?,?,45,50,53,40,?,?,89,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,33,?,82,65,49,58,?,?,?,?,?,?,?,?,?,59,?,?,?,?,?,?,?,?,39,?,?,?,?,55,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,55,?,70,50,?,40,90,?,?,68,35,55,?,?,?,?,?,?,50,?,?,?,?,?,50,?,?,25,?,?,?,?,?,60,?,60,?,?,?,?,?,?,30,?,45,?,?,?,30,?,?,52,56,?,48,?,70,60,?,40,65,55,30,?,52
"CSI: Crime Scene Investigation: Hard Evidence","X360",?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,61,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,70,30,?,?,?,?,?,42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,48
"Tom Clancy's Ghost Recon Advanced Warfighter 2","X360",85,70,?,?,?,?,?,90,90,?,?,85,?,?,?,?,?,?,?,?,90,?,?,?,80,?,?,?,?,93,?,?,?,?,?,?,?,?,?,?,70,?,80,?,80,?,?,?,?,?,?,95,?,?,80,?,83,?,88,92,?,?,58,?,90,65,80,?,?,?,85,100,87,100,?,92,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,90,70,?,91,?,?,?,?,89,?,?,?,?,?,85,?,?,90,91,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,80,?,?,?,90,90,?,85,90,?,92,91,?,90,?,?,?,?,?,?,?,?,?,?,90,?,92,?,?,?,?,?,?,?,100,?,?,80,?,?,?,?,?,?,90,?,93,?,?,89,70,?,?,?,?,90,80,89,94,80,?,90,90,?,80,?,86
"Tom Clancy's Splinter Cell Double Agent","X360",80,80,80,?,?,?,?,80,?,?,?,?,91,?,?,?,?,80,?,?,90,?,?,?,?,?,?,?,?,?,85,?,?,90,?,?,?,?,?,?,80,?,83,?,90,?,?,?,?,?,?,85,?,?,80,?,82,90,90,90,?,?,83,?,93,?,80,?,?,?,85,?,85,80,?,89,92,?,?,?,?,?,?,87,?,?,?,?,?,82,?,?,?,90,?,?,86,?,?,?,?,90,70,?,?,?,?,?,91,74,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,88,?,?,?,?,90,?,?,?,?,?,80,?,?,?,?,?,?,?,90,60,?,?,?,90,90,?,85,?,?,84,91,?,92,?,?,?,?,?,?,?,?,?,?,100,?,91,?,?,?,?,?,?,?,?,100,?,80,?,?,?,?,?,?,80,?,90,?,?,?,80,?,?,?,?,?,89,?,94,80,?,80,?,90,70,?,85
"Shadowrun","X360",80,?,?,?,?,?,?,80,?,?,?,75,78,?,?,?,?,60,?,?,70,?,?,?,60,80,?,?,?,70,?,60,?,?,?,?,?,65,?,?,60,?,67,?,60,?,?,?,?,?,?,70,?,?,60,?,80,67,65,?,?,?,58,?,?,?,60,?,?,?,65,67,69,40,?,69,75,?,?,?,?,?,?,76,?,82,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,60,80,?,25,?,?,70,75,67,83,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,70,?,?,?,?,72,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,70,60,?,60,?,?,62,71,?,40,?,?,?,?,?,?,?,?,?,?,?,64,74,?,?,58,?,?,?,?,?,?,?,70,?,?,75,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,94,60,?,?,85,?,60,?,66
"Big Bumpin'","X360",55,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,90,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,53,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,54,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,73,63
"WarTech: Senko no Ronde","X360",50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,43,?,80,?,?,?,?,?,?,?,?,?,40,?,36,63,38,74,?,?,?,?,?,30,70,?,?,?,?,?,52,?,?,55,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,40,70,?,42,?,?,?,?,?,?,?,?,?,?,85,?,?,?,51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,60,50,?,65,?,?,84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,70,?,?,?,?,82,?,51,?,?,?,?,45,?,80,?,60
